2022-06-22 18:17:07 status unpacked ncurses-bin:amd64 6.3+20220423-2
2022-06-22 18:17:07 install passwd:amd64 <none> 1:4.11.1+dfsg1-2
2022-06-22 18:17:07 status half-installed passwd:amd64 1:4.11.1+dfsg1-2
2022-06-22 18:17:07 status unpacked passwd:amd64 1:4.11.1+dfsg1-2
2022-06-22 18:17:07 upgrade perl-base:amd64 5.34.0-4 5.34.0-4
2022-06-22 18:17:07 status half-configured perl-base:amd64 5.34.0-4
2022-06-22 18:17:07 status unpacked perl-base:amd64 5.34.0-4
2022-06-22 18:17:07 status half-installed perl-base:amd64 5.34.0-4
2022-06-22 18:17:08 status unpacked perl-base:amd64 5.34.0-4
2022-06-22 18:17:08 install sed:amd64 <none> 4.8-1
2022-06-22 18:17:08 status half-installed sed:amd64 4.8-1
2022-06-22 18:17:08 status unpacked sed:amd64 4.8-1
2022-06-22 18:17:09 install sysvinit-utils:amd64 <none> 3.03-1
2022-06-22 18:17:09 status half-installed sysvinit-utils:amd64 3.03-1
2022-06-22 18:17:09 status unpacked sysvinit-utils:amd64 3.03-1
2022-06-22 18:17:09 install tar:amd64 <none> 1.34+dfsg-1
2022-06-22 18:17:09 status half-installed tar:amd64 1.34+dfsg-1
2022-06-22 18:17:10 status unpacked tar:amd64 1.34+dfsg-1
2022-06-22 18:17:11 install tzdata:all <none> 2022a-1
2022-06-22 18:17:11 status half-installed tzdata:all 2022a-1
2022-06-22 18:17:11 status unpacked tzdata:all 2022a-1
2022-06-22 18:17:11 install util-linux:amd64 <none> 2.38-4
2022-06-22 18:17:11 status half-installed util-linux:amd64 2.38-4
2022-06-22 18:17:12 status unpacked util-linux:amd64 2.38-4
2022-06-22 18:17:12 install util-linux-extra:amd64 <none> 2.38-4
2022-06-22 18:17:12 status half-installed util-linux-extra:amd64 2.38-4
2022-06-22 18:17:12 status unpacked util-linux-extra:amd64 2.38-4
2022-06-22 18:17:12 install zlib1g:amd64 <none> 1:1.2.11.dfsg-4
2022-06-22 18:17:12 status half-installed zlib1g:amd64 1:1.2.11.dfsg-4
2022-06-22 18:17:12 status unpacked zlib1g:amd64 1:1.2.11.dfsg-4
2022-06-22 18:17:12 startup packages configure
2022-06-22 18:17:12 configure lsb-base:all 11.2 <none>
2022-06-22 18:17:12 status unpacked lsb-base:all 11.2
2022-06-22 18:17:12 status half-configured lsb-base:all 11.2
2022-06-22 18:17:12 status installed lsb-base:all 11.2
2022-06-22 18:17:12 configure debian-archive-keyring:all 2021.1.1 <none>
2022-06-22 18:17:12 status unpacked debian-archive-keyring:all 2021.1.1
2022-06-22 18:17:12 status half-configured debian-archive-keyring:all 2021.1.1
2022-06-22 18:17:12 status installed debian-archive-keyring:all 2021.1.1
2022-06-22 18:17:12 configure libaudit-common:all 1:3.0.7-1 <none>
2022-06-22 18:17:12 status unpacked libaudit-common:all 1:3.0.7-1
2022-06-22 18:17:12 status half-configured libaudit-common:all 1:3.0.7-1
2022-06-22 18:17:12 status installed libaudit-common:all 1:3.0.7-1
2022-06-22 18:17:12 configure libsemanage-common:all 3.3-1 <none>
2022-06-22 18:17:12 status unpacked libsemanage-common:all 3.3-1
2022-06-22 18:17:12 status half-configured libsemanage-common:all 3.3-1
2022-06-22 18:17:12 status installed libsemanage-common:all 3.3-1
2022-06-22 18:17:12 configure gcc-12-base:amd64 12.1.0-2 <none>
2022-06-22 18:17:12 status unpacked gcc-12-base:amd64 12.1.0-2
2022-06-22 18:17:12 status half-configured gcc-12-base:amd64 12.1.0-2
2022-06-22 18:17:12 status installed gcc-12-base:amd64 12.1.0-2
2022-06-22 18:17:12 configure ncurses-base:all 6.3+20220423-2 <none>
2022-06-22 18:17:12 status unpacked ncurses-base:all 6.3+20220423-2
2022-06-22 18:17:12 status half-configured ncurses-base:all 6.3+20220423-2
2022-06-22 18:17:12 status installed ncurses-base:all 6.3+20220423-2
2022-06-22 18:17:12 configure init-system-helpers:all 1.63 <none>
2022-06-22 18:17:12 status unpacked init-system-helpers:all 1.63
2022-06-22 18:17:12 status half-configured init-system-helpers:all 1.63
2022-06-22 18:17:12 status installed init-system-helpers:all 1.63
2022-06-22 18:17:12 configure libgcc-s1:amd64 12.1.0-2 <none>
2022-06-22 18:17:12 status unpacked libgcc-s1:amd64 12.1.0-2
2022-06-22 18:17:12 status half-configured libgcc-s1:amd64 12.1.0-2
2022-06-22 18:17:12 status installed libgcc-s1:amd64 12.1.0-2
2022-06-22 18:17:12 configure libc6:amd64 2.33-7 <none>
2022-06-22 18:17:12 status unpacked libc6:amd64 2.33-7
2022-06-22 18:17:12 status half-configured libc6:amd64 2.33-7
2022-06-22 18:17:13 status installed libc6:amd64 2.33-7
2022-06-22 18:17:13 configure libudev1:amd64 250.4-1 <none>
2022-06-22 18:17:13 status unpacked libudev1:amd64 250.4-1
2022-06-22 18:17:13 status half-configured libudev1:amd64 250.4-1
2022-06-22 18:17:14 status installed libudev1:amd64 250.4-1
2022-06-22 18:17:14 configure libffi8:amd64 3.4.2-4 <none>
2022-06-22 18:17:14 status unpacked libffi8:amd64 3.4.2-4
2022-06-22 18:17:14 status half-configured libffi8:amd64 3.4.2-4
2022-06-22 18:17:15 status installed libffi8:amd64 3.4.2-4
2022-06-22 18:17:15 configure libxxhash0:amd64 0.8.1-1 <none>
2022-06-22 18:17:15 status unpacked libxxhash0:amd64 0.8.1-1
2022-06-22 18:17:15 status half-configured libxxhash0:amd64 0.8.1-1
2022-06-22 18:17:15 status installed libxxhash0:amd64 0.8.1-1
2022-06-22 18:17:16 configure libattr1:amd64 1:2.5.1-1 <none>
2022-06-22 18:17:16 status unpacked libattr1:amd64 1:2.5.1-1
2022-06-22 18:17:16 status half-configured libattr1:amd64 1:2.5.1-1
2022-06-22 18:17:17 status installed libattr1:amd64 1:2.5.1-1
2022-06-22 18:17:17 configure sysvinit-utils:amd64 3.03-1 <none>
2022-06-22 18:17:17 status unpacked sysvinit-utils:amd64 3.03-1
2022-06-22 18:17:17 status half-configured sysvinit-utils:amd64 3.03-1
2022-06-22 18:17:17 status installed sysvinit-utils:amd64 3.03-1
2022-06-22 18:17:17 configure libtasn1-6:amd64 4.18.0-4 <none>
2022-06-22 18:17:17 status unpacked libtasn1-6:amd64 4.18.0-4
2022-06-22 18:17:17 status half-configured libtasn1-6:amd64 4.18.0-4
2022-06-22 18:17:17 status installed libtasn1-6:amd64 4.18.0-4
2022-06-22 18:17:17 configure debianutils:amd64 5.7-0.2 <none>
2022-06-22 18:17:17 status unpacked debianutils:amd64 5.7-0.2
2022-06-22 18:17:17 status half-configured debianutils:amd64 5.7-0.2
2022-06-22 18:17:17 status installed debianutils:amd64 5.7-0.2
